des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2023 XU7,5,2451547.895892915,2000-Jan-04 09:30,0.0441171633740676,0.0373389395532833,0.0518256674581994,4.10991314869572,4.09519169704324,2_00:14,24.91
2019 AX5,13,2451552.281483720,2000-Jan-08 18:45,0.0476285376083108,0.0471831099533576,0.0480755717498712,9.91326791256937,9.90762306872234,00:17,26.0
2000 AG6,12,2451552.592214946,2000-Jan-09 02:13,0.0132857510671263,0.0132641303902126,0.0133073708230386,5.56507983001682,5.52892486912425,< 00:01,25.3
2000 AA6,34,2451558.889537304,2000-Jan-15 09:21,0.0394375954347242,0.0394372823262315,0.0394379085432595,14.8701807283431,14.865636584765,< 00:01,22.44
2010 AE30,21,2451561.057757310,2000-Jan-17 13:23,0.0322371331015195,0.0322367255973116,0.0322375406330972,12.1645003297146,12.1577038658861,< 00:01,23.6
2022 TW2,9,2451561.067367703,2000-Jan-17 13:37,0.0305818081157979,0.0264681593062942,0.0354851149426786,3.33870578908921,3.31250717365984,2_05:12,28.56
2019 BZ,9,2451568.189390130,2000-Jan-24 16:33,0.0136676665313299,0.00136565066696619,0.108348621438135,8.27652561845018,8.25293772134174,5_11:13,27.64
2000 CK59,23,2451574.298529556,2000-Jan-30 19:10,0.0388144214114912,0.0388133843649563,0.0388154584580724,4.79658240321006,4.78224941685092,< 00:01,24.1
2018 BH5,4,2451575.030769486,2000-Jan-31 12:44,0.0428234927747243,0.0203506891122265,0.189055582970286,11.7024855005926,11.6971674697779,5_03:03,25.2
2016 AU65,17,2451576.443329293,2000-Feb-01 22:38,0.0184814791271621,0.0184810330123956,0.0184819254023298,16.4853863742597,16.4766387173622,< 00:01,22.80
2000 BO19,12,2451579.047664741,2000-Feb-04 13:09,0.0312053174003137,0.0308976194900421,0.0315130104435315,14.5619124763141,14.5560476817937,< 00:01,24.6
2009 DC1,13,2451582.449507674,2000-Feb-07 22:47,0.0452469621552117,0.0339171243514224,0.0615727480130767,9.14188297314212,9.13543919826912,11:22,24.0
2000 CM33,36,2451583.417158584,2000-Feb-08 22:01,0.0461487850348752,0.046148601761608,0.0461489683081503,8.76884724923548,8.76226047584578,< 00:01,21.22
2020 KQ7,11,2451583.924642297,2000-Feb-09 10:11,0.0133775390401037,0.0133695101934702,0.0268464953693038,3.31308085258339,3.25240734529805,1_07:44,26.5
2016 DX30,4,2451584.082737708,2000-Feb-09 13:59,0.0157628172736979,0.012368907131354,0.140984086450358,10.9237056261146,10.9082204389307,4_20:31,26.5
2017 BS31,12,2451589.154332061,2000-Feb-14 15:42,0.0455542468625996,0.0455397329258453,0.0455687752451982,18.2927736663055,18.2895759356105,00:02,21.94
2025 DD,6,2451590.541112447,2000-Feb-16 00:59,0.0446369996464114,0.0172826105381725,0.23150972874254,14.3042275166285,14.300053863848,6_04:27,24.10
2022 AG6,19,2451591.732729817,2000-Feb-17 05:35,0.0384208483369319,0.029570698222538,0.047294480430504,4.46596723699487,4.45041163264249,3_08:17,26.36
2000 EM26,30,2451593.912392586,2000-Feb-19 09:54,0.0473417282316502,0.0473412348093298,0.0473422216541831,11.4183036029033,11.4133734495119,< 00:01,22.51
2017 DU34,5,2451594.980966809,2000-Feb-20 11:33,0.0342718952573756,0.0276899069704961,0.0490421512565917,10.3853175950939,10.3778288152339,7_19:28,26.8
2025 YU15,9,2451596.345052491,2000-Feb-21 20:17,0.0298035106785846,0.0224468414705794,0.0385546807048733,9.40679937845802,9.39729064647555,2_20:47,22.15
2016 EO84,33,2451603.893035585,2000-Feb-29 09:26,0.040557109151559,0.0405545475448224,0.0405596738331222,15.9542834021494,15.9501650439254,< 00:01,22.34
