Unnamed: 0,Unnamed: 0.1,Company Name,Location,Datum,Detail,Status Rocket, Rocket,Status Mission
0,0,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri May 15, 2019 04:00 UTC",Soyuz 2 | Payload,StatusActive,,Failure
1,1,SpaceX,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Feb 15, 1964 04:00 UTC",Delta IV | Payload,StatusActive,101.4,Success
2,2,Arianespace,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jul 15, 1999 04:00 UTC",Soyuz 2 | Payload,StatusActive,40.7,Success
3,3,SpaceX,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jan 15, 2018 04:00 UTC",Ariane 5 | Payload,StatusActive,140.4,Success
4,4,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Nov 15, 1968 04:00 UTC",Ariane 5 | Payload,StatusActive,,Success
5,5,ULA,"ELA-3, Guiana Space Centre, French Guiana","Fri Jun 15, 2006 04:00 UTC",Falcon 9 | Payload,StatusActive,,Success
6,6,ULA,"ELA-3, Guiana Space Centre, French Guiana","Fri Jun 15, 2016 04:00 UTC",Ariane 5 | Payload,StatusActive,,Success
7,7,Roscosmos,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri May 15, 2018 04:00 UTC",Soyuz 2 | Payload,StatusActive,121.2,Success
8,8,Arianespace,"LC-39A, Kennedy Space Center, Florida, USA","Fri Nov 15, 1990 04:00 UTC",Ariane 5 | Payload,StatusActive,175.0,Success
9,9,NASA,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Jun 15, 1964 04:00 UTC",Delta IV | Payload,StatusActive,164.1,Success
10,10,Roscosmos,"ELA-3, Guiana Space Centre, French Guiana","Fri Oct 15, 1968 04:00 UTC",Delta IV | Payload,StatusActive,151.7,Success
11,11,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Fri Nov 15, 2021 04:00 UTC",Delta IV | Payload,StatusActive,194.7,Success
12,12,Roscosmos,"ELA-3, Guiana Space Centre, French Guiana","Fri Nov 15, 1958 04:00 UTC",Ariane 5 | Payload,StatusActive,153.0,Success
13,13,Arianespace,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Oct 15, 2009 04:00 UTC",Atlas V | Payload,StatusActive,54.9,Success
14,14,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Mar 15, 2021 04:00 UTC",Soyuz 2 | Payload,StatusActive,130.3,Success
15,15,NASA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jan 15, 1986 04:00 UTC",Falcon 9 | Payload,StatusActive,164.3,Success
16,16,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Nov 15, 1973 04:00 UTC",Atlas V | Payload,StatusActive,,Success
17,17,Roscosmos,"LC-39A, Kennedy Space Center, Florida, USA","Fri Oct 15, 2021 04:00 UTC",Falcon 9 | Payload,StatusActive,44.7,Success
18,18,ULA,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Jun 15, 1986 04:00 UTC",Falcon 9 | Payload,StatusActive,123.9,Success
19,19,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jun 15, 2017 04:00 UTC",Soyuz 2 | Payload,StatusActive,20.6,Success
20,20,Arianespace,"LC-39A, Kennedy Space Center, Florida, USA","Fri Dec 15, 1972 04:00 UTC",Ariane 5 | Payload,StatusActive,48.6,Success
21,21,Roscosmos,"LC-39A, Kennedy Space Center, Florida, USA","Fri Oct 15, 2001 04:00 UTC",Atlas V | Payload,StatusActive,155.1,Success
22,22,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Fri Jun 15, 1993 04:00 UTC",Delta IV | Payload,StatusActive,187.4,Success
23,23,Arianespace,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Jul 15, 1965 04:00 UTC",Delta IV | Payload,StatusActive,,Success
24,24,SpaceX,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Mar 15, 1989 04:00 UTC",Ariane 5 | Payload,StatusActive,,Success
25,25,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Apr 15, 2013 04:00 UTC",Soyuz 2 | Payload,StatusActive,,Success
26,26,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Feb 15, 1971 04:00 UTC",Ariane 5 | Payload,StatusActive,29.7,Success
27,27,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Dec 15, 1974 04:00 UTC",Falcon 9 | Payload,StatusActive,147.5,Success
28,28,NASA,"ELA-3, Guiana Space Centre, French Guiana","Fri Apr 15, 1959 04:00 UTC",Soyuz 2 | Payload,StatusActive,,Success
29,29,Arianespace,"LC-39A, Kennedy Space Center, Florida, USA","Fri Mar 15, 1967 04:00 UTC",Falcon 9 | Payload,StatusActive,131.2,Success
30,30,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Mar 15, 1996 04:00 UTC",Soyuz 2 | Payload,StatusActive,,Failure
31,31,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Fri Sep 15, 2020 04:00 UTC",Atlas V | Payload,StatusActive,112.4,Success
32,32,NASA,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Sep 15, 2017 04:00 UTC",Ariane 5 | Payload,StatusActive,68.6,Success
33,33,Roscosmos,"LC-39A, Kennedy Space Center, Florida, USA","Fri Nov 15, 1991 04:00 UTC",Soyuz 2 | Payload,StatusActive,,Success
34,34,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Fri Apr 15, 1980 04:00 UTC",Soyuz 2 | Payload,StatusActive,24.9,Success
35,35,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Fri May 15, 2003 04:00 UTC",Atlas V | Payload,StatusActive,93.2,Success
36,36,ULA,"ELA-3, Guiana Space Centre, French Guiana","Fri Jul 15, 2013 04:00 UTC",Delta IV | Payload,StatusActive,132.2,Success
37,37,ULA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Sep 15, 1998 04:00 UTC",Atlas V | Payload,StatusActive,,Success
38,38,Arianespace,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Feb 15, 2006 04:00 UTC",Soyuz 2 | Payload,StatusActive,84.7,Success
